"Reference","Value","Footprint","Datasheet","Qty"
"L701","2n00_0402_1A0_P","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"L801","2n00_0402_???_R","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"L802","20n0_0402_???_R","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"M1301","FIT0774","","https://www.mouser.com/ProductDetail/DFRobot/FIT0774?qs=ljCeji4nMDmZzIiC0gR9iA%3D%3D","1"
"MK1201","MP34DT05-A","Footprint_Library:MP34DT05TRA","https://www.mouser.com/ProductDetail/STMicroelectronics/MP34DT05TR-A?qs=BZBei1rCqCAMJfcA0UxAnA%3D%3D","1"
"P101","","","https://www.mouser.com/ProductDetail/EDAC/140-941-290?qs=zW32dvEIR3ud7XXYSmPSVA%3D%3D","1"
"PS501","TPS629206","Package_TO_SOT_SMD:SOT-583-8","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS629206DRLR?qs=Znm5pLBrcAJy7dSsD9irQg%3D%3D","1"
"PS502","BQ21080","Footprint_Library:BGA8C40P2X4_104X159X50","https://www.mouser.com/ProductDetail/Texas-Instruments/BQ21080YBGR?qs=amGC7iS6iy9sW%252B8sMo%2Facg%3D%3D","1"
"PS503","MIC5504-5-SOT23","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","https://www.mouser.com/ProductDetail/Microchip-Technology/MIC5504-2.5YM5-TR?qs=U6T8BxXiZAXfKTfMymzCuw%3D%3D","1"
"PU901","","","","1"
"Q1301","T2N7002AK,LM","Footprint_Library:TBAT54CLM","https://www.mouser.com/ProductDetail/Toshiba/T2N7002AKLM?qs=pzVvXTvk9PzfX4hYglwZ9Q%3D%3D","1"
"R401, R402, R701, R702","4k70_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","4"
"R501, R503","????_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"R502, R514, R1201, R1602","0000_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","4"
"R504","27k4_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"R505-R507, R1001","47k0_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","4"
"R508","220k_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"R509, R1101, R1401-R1404, R1409-R1416","10k0_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","14"
"R510","15k0_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","1"
"R511, R512, R516, R801, R1503","0470_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","5"
"R513, R1601","1k00_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"R515, R802, R1504","0033_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","3"
